,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
218,cax vegan,cax vegan,{'FOOD SHOP'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,FOOD SHOP
219,kujan restaurant,kujan restaurant,{'LANDMARK'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,LANDMARK
220,vaishnav devi temple,vaishnav devi temple,{'LANDMARK'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,LANDMARK
221,ganga ghat,ganga ghat,{'LANDMARK'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,LANDMARK
222,jai mahal palace,jai mahal palace,{'LANDMARK'},{'SugarSpiceNice Hindi'},5.814069767441861,{'fP2zols1dag'},1,LANDMARK
223,suvarna mahal restaurant,suvarna mahal restaurant,{'LANDMARK'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,LANDMARK
224,mansarovar lake,mansarovar lake,{'LANDMARK'},{'SugarSpiceNice Hindi'},5.814069767441861,{'fP2zols1dag'},1,LANDMARK
225,jal mahal palace,jal mahal palace,{'LANDMARK'},"{'SugarSpiceNice Hindi', 'Golgappa Girl'}",4.3363111410474575,"{'snwAYESRUEw', 'fP2zols1dag'}",1,LANDMARK
226,agra,agra,{'CITY'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,CITY
227,masala chowk,masala chowk,{'LANDMARK'},{'SugarSpiceNice Hindi'},4.814069767441861,{'fP2zols1dag'},1,LANDMARK
228,jai mahal,jai mahal,{'LANDMARK'},{'SugarSpiceNice Hindi'},6.814069767441861,{'fP2zols1dag'},1,LANDMARK
229,mirchi bada,mirchi bada,"{'FOOD SHOP', 'CLOTH SHOP'}",{'SugarSpiceNice India'},6.330362857142857,{'D1blpY-3ROE'},2,FOOD SHOP
230,mirchi pakoda,mirchi pakoda,{'FOOD SHOP'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
231,sun,sun,{'AREA'},{'SugarSpiceNice India'},8.330362857142857,{'D1blpY-3ROE'},1,AREA
232,kachori,kachori,"{'FOOD', 'AREA'}","{'Golgappa Girl', 'SugarSpiceNice India'}",11.965384413472707,"{'D1blpY-3ROE', 'snwAYESRUEw'}",2,FOOD
233,dal wala,dal wala,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
234,moong dal,moong dal,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
235,katori onion kachori,katori onion kachori,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
236,mava kachori,mava kachori,{'LANDMARK'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
237,piazz kachori,piazz kachori,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
238,moga kachori,moga kachori,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
239,pias katori,pias katori,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
240,dessert the,dessert the,{'LANDMARK'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
241,paneer butter masala,paneer butter masala,{'FOOD'},{'SugarSpiceNice India'},6.330362857142857,{'D1blpY-3ROE'},1,FOOD
