,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
373,sanganeri shibri bande,sanganeri shibri bande,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
374,rajo rani,rajo rani,{'FOOD SHOP'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,FOOD SHOP
375,madam parveen saree emporium,madam parveen saree emporium,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
376,bapu bhaya,bapu bhaya,{'AREA'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,AREA
377,lagar hai,lagar hai,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
378,shrinath handloom,shrinath handloom,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
379,e53 bapu bazaar,e53 bapu bazaar,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
380,rahi,rahi,{'FOOD SHOP'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,FOOD SHOP
381,indra bazar,indra bazar,{'LANDMARK'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,LANDMARK
382,jori bazaar,jori bazaar,{'AREA'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,AREA
383,lane tripolia,lane tripolia,{'ROADS'},{'Sakshi Yadav'},2.4566255144032922,{'lmhzpFfuWKc'},1,ROADS
